GEOGCD,GEOGNM,GEOGNMW,SI_ID,SI_TITLE,OPER_DATE,TERM_DATE,PARENTCD,ENTITYCD,OWNER,STATUS,AREAEHECT,AREACHECT,AREAIHECT,AREALHECT
E12000001,North East,,1111/1001,GSS re-coding strategy,01/01/2009,,E92000001,E12,MHCLG,live,867572.74,859243,1798.63,857444.37
E12000002,North West,,1111/1001,GSS re-coding strategy,01/01/2009,,E92000001,E12,MHCLG,live,1491947.68,1416409.29,5688.16,1410721.13
E12000003,Yorkshire and The Humber,,1111/1001,GSS re-coding strategy,01/01/2009,,E92000001,E12,MHCLG,live,1556183.87,1540912.27,376.93,1540535.34
E12000004,East Midlands,,1111/1001,GSS re-coding strategy,01/01/2009,,E92000001,E12,MHCLG,live,1581093.98,1564327.27,1980.25,1562347.02
E12000005,West Midlands,,1111/1001,GSS re-coding strategy,01/01/2009,,E92000001,E12,MHCLG,live,1300373.82,1300373.82,547.18,1299826.64
E12000006,East of England,,1111/1001,GSS re-coding strategy,01/01/2009,,E92000001,E12,MHCLG,live,1958538.97,1913556.36,1682.91,1911873.45
E12000007,London,,1111/1001,GSS re-coding strategy,01/01/2009,,E92000001,E12,MHCLG,live,159469.7,157350.98,136.92,157214.06
E12000008,South East,,1111/1001,GSS re-coding strategy,01/01/2009,,E92000001,E12,MHCLG,live,1940547.26,1908879.72,1574.81,1907304.91
E12000009,South West,,1111/1001,GSS re-coding strategy,01/01/2009,,E92000001,E12,MHCLG,live,2438880.92,2385137.02,1402.58,2383734.44
