LA Code,Local Area,Parent Code,Area,Population
E12000001,North East,E92000001,ENGLAND,2667130
E12000002,North West,E92000001,ENGLAND,7329535
E12000003,Yorkshire and The Humber,E92000001,ENGLAND,5505362
E12000004,East Midlands,E92000001,ENGLAND,4844625
E12000005,West Midlands,E92000001,ENGLAND,5945140
E12000006,East of England,E92000001,ENGLAND,6240417
E12000007,London,E92000001,ENGLAND,8977525
E12000008,South East,E92000001,ENGLAND,9186741
E12000009,South West,E92000001,ENGLAND,5646598
